Time (s),Voltage (V),Current
1.8679000000000001,-32.8,5.065810307860375e-11
1.868,-32.8,5.065810307860375e-11
1.8681,-32.8,4.872532561421395e-11
1.8682,-32.8,5.387940630316735e-11
1.8683,-32.8,3.1330313533544546e-11
1.8684,-32.8,4.4859770685434345e-11
1.8685,-32.8,5.5167924612760546e-11
1.8686,-32.8,4.936958476901055e-11
1.8687,-32.8,5.3235147148370745e-11
1.8688,-32.8,2.8753276914358142e-11
1.8689,-32.8,4.6148288995027544e-11
1.869,-32.8,4.872532561421395e-11
1.8691,-32.8,4.936958476901055e-11
1.8692000000000002,-32.8,3.7772912532091144e-11
1.8693000000000002,-32.8,4.743680730462074e-11
1.8694000000000002,-32.8,4.743680730462074e-11
1.8695000000000002,-32.8,5.1946628838777547e-11
1.8696000000000002,-32.8,4.6148288995027544e-11
1.8697000000000001,-32.8,4.743680730462074e-11
1.8698000000000001,-32.8,3.712865337729454e-11
1.8699000000000001,-32.8,5.581218376755715e-11
1.87,-32.8,4.421551153063774e-11
1.8701,-32.8,4.034994915127755e-11
1.8702,-32.8,4.550402984023094e-11
1.8703,-32.8,4.6148288995027544e-11
1.8704,-32.8,5.1946628838777547e-11
1.8705,-32.8,3.004179522395134e-11
1.8706,-32.8,4.421551153063774e-11
1.8707,-32.8,4.421551153063774e-11
1.8708,-32.8,5.1946628838777547e-11
1.8709,-32.8,3.3263090997934347e-11
1.871,-32.8,4.872532561421395e-11
1.8711,-32.8,3.648439422249794e-11
1.8712000000000002,-32.8,4.550402984023094e-11
1.8713000000000002,-32.8,3.2618831843137744e-11
1.8714000000000002,-32.8,4.421551153063774e-11
1.8715000000000002,-32.8,4.2926985770463945e-11
1.8716000000000002,-32.8,4.6792548149824146e-11
1.8717000000000001,-32.8,5.1302369683980944e-11
1.8718000000000001,-32.8,5.065810307860375e-11
1.8719000000000001,-32.8,5.259088799357414e-11
1.872,-32.8,6.354330480098724e-11
1.8721,-32.8,6.547607481479645e-11
1.8722,-32.8,3.5840127617120744e-11
1.8723,-32.8,4.4859770685434345e-11
1.8724,-32.8,5.259088799357414e-11
1.8725,-32.8,3.4551609307527545e-11
1.8726,-32.8,4.1638467460870746e-11
1.8727,-32.8,4.6148288995027544e-11
1.8728,-32.8,4.357124492526055e-11
1.8729,-32.8,3.2618831843137744e-11
1.873,-32.8,5.1302369683980944e-11
1.8731,-32.8,3.2618831843137744e-11
1.8732000000000002,-32.8,3.3263090997934347e-11
1.8733000000000002,-32.8,4.2926985770463945e-11
1.8734000000000002,-32.8,6.096626445651055e-11
1.8735000000000002,-32.8,4.228272661566735e-11
1.8736000000000002,-32.8,4.4859770685434345e-11
1.8737000000000001,-32.8,3.841717168688774e-11
1.8738000000000001,-32.8,5.0013843923807146e-11
1.8739000000000001,-32.8,4.8081066459417345e-11
1.874,-32.8,3.906143084168434e-11
1.8741,-32.8,2.939753606915474e-11
1.8742,-32.8,3.841717168688774e-11
1.8743,-32.8,4.743680730462074e-11
1.8744,-32.8,4.357124492526055e-11
1.8745,-32.8,4.6148288995027544e-11
1.8746,-32.8,4.6792548149824146e-11
1.8747,-32.8,2.8753276914358142e-11
1.8748,-32.8,4.872532561421395e-11
1.8749,-32.8,5.259088799357414e-11
1.875,-32.8,4.743680730462074e-11
1.8751,-32.8,3.648439422249794e-11
1.8752000000000002,-32.8,4.0994208306074144e-11
1.8753000000000002,-32.8,2.231067791581154e-11
1.8754000000000002,-32.8,4.936958476901055e-11
1.8755000000000002,-32.8,5.065810307860375e-11
1.8756000000000002,-32.8,4.743680730462074e-11
1.8757000000000001,-32.8,4.6792548149824146e-11
1.8758000000000001,-32.8,4.4859770685434345e-11
1.8759000000000001,-32.8,4.6148288995027544e-11
1.8760000000000001,-32.8,5.1302369683980944e-11
1.8761,-32.8,4.6792548149824146e-11
1.8762,-32.8,4.357124492526055e-11
1.8763,-32.8,5.774496123194695e-11
1.8764,-32.8,5.710070207715035e-11
1.8765,-32.8,5.065810307860375e-11
1.8766,-32.8,4.228272661566735e-11
1.8767,-32.8,4.6792548149824146e-11
1.8768,-32.8,4.421551153063774e-11
1.8769,-32.8,3.906143084168434e-11
1.877,-32.8,3.7772912532091144e-11
1.8771,-32.8,4.6792548149824146e-11
1.8772,-32.8,4.357124492526055e-11
1.8773000000000002,-32.8,3.5840127617120744e-11
1.8774000000000002,-32.8,3.9705689996480945e-11
1.8775000000000002,-32.8,4.228272661566735e-11
1.8776000000000002,-32.8,4.6148288995027544e-11
1.8777000000000001,-32.8,4.4859770685434345e-11
1.8778000000000001,-32.8,5.5167924612760546e-11
1.8779000000000001,-32.8,4.034994915127755e-11
1.8780000000000001,-32.8,3.7772912532091144e-11
1.8781,-32.8,4.357124492526055e-11
1.8782,-32.8,2.939753606915474e-11
1.8783,-32.8,4.357124492526055e-11
1.8784,-32.8,4.6148288995027544e-11
1.8785,-32.8,4.034994915127755e-11
1.8786,-32.8,3.390735015273094e-11
1.8787,-32.8,3.9705689996480945e-11
1.8788,-32.8,4.357124492526055e-11
1.8789,-32.8,3.004179522395134e-11
1.879,-32.8,4.034994915127755e-11
1.8791,-32.8,3.712865337729454e-11
1.8792,-32.8,4.034994915127755e-11
1.8793000000000002,-32.8,3.9705689996480945e-11
1.8794000000000002,-32.8,4.8081066459417345e-11
1.8795000000000002,-32.8,4.034994915127755e-11
1.8796000000000002,-32.8,4.228272661566735e-11
1.8797000000000001,-32.8,4.034994915127755e-11
1.8798000000000001,-32.8,3.906143084168434e-11
1.8799000000000001,-32.8,3.9705689996480945e-11
1.8800000000000001,-32.8,4.6792548149824146e-11
1.8801,-32.8,4.357124492526055e-11
1.8802,-32.8,4.550402984023094e-11
1.8803,-32.8,4.936958476901055e-11
1.8804,-32.8,3.648439422249794e-11
1.8805,-32.8,5.387940630316735e-11
1.8806,-32.8,4.6792548149824146e-11
1.8807,-32.8,4.357124492526055e-11
1.8808,-32.8,3.841717168688774e-11
1.8809,-32.8,3.7772912532091144e-11
1.881,-32.8,4.228272661566735e-11
1.8811,-32.8,4.034994915127755e-11
1.8812,-32.8,3.841717168688774e-11
1.8813000000000002,-32.8,4.4859770685434345e-11
1.8814000000000002,-32.8,3.9705689996480945e-11
1.8815000000000002,-32.8,4.357124492526055e-11
1.8816000000000002,-32.8,3.390735015273094e-11
1.8817000000000002,-32.8,3.841717168688774e-11
1.8818000000000001,-32.8,5.1302369683980944e-11
1.8819000000000001,-32.8,5.1946628838777547e-11
1.8820000000000001,-32.8,4.034994915127755e-11
1.8821,-32.8,3.841717168688774e-11
1.8822,-32.8,4.936958476901055e-11
1.8823,-32.8,3.1330313533544546e-11
1.8824,-32.8,3.648439422249794e-11
1.8825,-32.8,4.034994915127755e-11
1.8826,-32.8,3.906143084168434e-11
1.8827,-32.8,4.0994208306074144e-11
1.8828,-32.8,3.519586846232415e-11
1.8829,-32.8,3.519586846232415e-11
1.883,-32.8,3.068605437874794e-11
1.8831,-32.8,5.581218376755715e-11
1.8832,-32.8,3.004179522395134e-11
1.8833000000000002,-32.8,4.2926985770463945e-11
1.8834000000000002,-32.8,3.197457268834114e-11
1.8835000000000002,-32.8,5.065810307860375e-11
1.8836000000000002,-32.8,4.550402984023094e-11
1.8837000000000002,-32.8,3.712865337729454e-11
1.8838000000000001,-32.8,4.1638467460870746e-11
1.8839000000000001,-32.8,3.841717168688774e-11
1.8840000000000001,-32.8,3.906143084168434e-11
1.8841,-32.8,3.648439422249794e-11
1.8842,-32.8,4.4859770685434345e-11
1.8843,-32.8,3.1330313533544546e-11
1.8844,-32.8,3.9705689996480945e-11
1.8845,-32.8,3.7772912532091144e-11
1.8846,-32.8,4.743680730462074e-11
1.8847,-32.8,4.034994915127755e-11
1.8848,-32.8,4.4859770685434345e-11
1.8849,-32.8,4.872532561421395e-11
1.885,-32.8,4.550402984023094e-11
1.8851,-32.8,4.1638467460870746e-11
1.8852,-32.8,4.6792548149824146e-11
1.8853000000000002,-32.8,5.1946628838777547e-11
1.8854000000000002,-32.8,3.3263090997934347e-11
1.8855000000000002,-32.8,3.5840127617120744e-11
1.8856000000000002,-32.8,3.7772912532091144e-11
1.8857000000000002,-32.8,5.065810307860375e-11
1.8858000000000001,-32.8,3.519586846232415e-11
1.8859000000000001,-32.8,5.259088799357414e-11
1.8860000000000001,-32.8,4.4859770685434345e-11
1.8861,-32.8,4.421551153063774e-11
1.8862,-32.8,3.390735015273094e-11
1.8863,-32.8,5.259088799357414e-11
1.8864,-32.8,4.1638467460870746e-11
1.8865,-32.8,3.9705689996480945e-11
1.8866,-32.8,3.4551609307527545e-11
1.8867,-32.8,4.0994208306074144e-11
1.8868,-32.8,3.906143084168434e-11
1.8869,-32.8,4.6148288995027544e-11
1.887,-32.8,3.3263090997934347e-11
1.8871,-32.8,4.936958476901055e-11
1.8872,-32.8,5.1946628838777547e-11
1.8873000000000002,-32.8,4.034994915127755e-11
1.8874000000000002,-32.8,3.519586846232415e-11
1.8875000000000002,-32.8,3.197457268834114e-11
1.8876000000000002,-32.8,4.2926985770463945e-11
1.8877000000000002,-32.8,4.228272661566735e-11
1.8878000000000001,-32.8,4.421551153063774e-11
1.8879000000000001,-32.8,5.387940630316735e-11
1.8880000000000001,-32.8,4.743680730462074e-11
1.8881000000000001,-32.8,3.519586846232415e-11
1.8882,-32.8,4.228272661566735e-11
1.8883,-32.8,2.8753276914358142e-11
1.8884,-32.8,3.3263090997934347e-11
1.8885,-32.8,5.065810307860375e-11
1.8886,-32.8,2.424345538020134e-11
1.8887,-32.8,5.387940630316735e-11
1.8888,-32.8,4.550402984023094e-11
1.8889,-32.8,4.743680730462074e-11
1.889,-32.8,4.4859770685434345e-11
1.8891,-32.8,4.4859770685434345e-11
1.8892,-32.8,3.712865337729454e-11
1.8893000000000002,-32.8,3.5840127617120744e-11
1.8894000000000002,-32.8,3.004179522395134e-11
1.8895000000000002,-32.8,4.228272661566735e-11
1.8896000000000002,-32.8,4.6148288995027544e-11
1.8897000000000002,-32.8,4.2926985770463945e-11
1.8898000000000001,-32.8,2.939753606915474e-11
1.8899000000000001,-32.8,3.712865337729454e-11
1.8900000000000001,-32.8,3.7772912532091144e-11
1.8901000000000001,-32.8,3.841717168688774e-11
1.8902,-32.8,4.8081066459417345e-11
1.8903,-32.8,4.550402984023094e-11
1.8904,-32.8,3.3263090997934347e-11
1.8905,-32.8,3.197457268834114e-11
1.8906,-32.8,4.8081066459417345e-11
1.8907,-32.8,4.6148288995027544e-11
1.8908,-32.8,4.2926985770463945e-11
1.8909,-32.8,4.4859770685434345e-11
